EmpID,Gender,Age,MaritalStatus,JobLevel,Experience,Dept,EmpType,WLB,WorkEnv,PhysicalActivityHours,Workload,Stress,SleepHours,CommuteMode,CommuteDistance,NumCompanies,TeamSize,NumReports,EduLevel,haveOT,TrainingHoursPerYear,JobSatisfaction
1122,Male,30,Married,Mid,8,Operations,Full-Time,5,1,2,1,2,9.7,Car,10,2,10,0,Bachelor,FALSE,34,5
1179,Male,34,Married,Mid,2,Finance,Part-Time,4,4,3.2,2,1,7.6,Motorbike,24,4,15,0,Bachelor,FALSE,31,5
1200,Female,32,Married,Senior,8,Sales,Contract,4,5,3.5,2,1,6.5,Public Transport,9,3,17,2,Bachelor,FALSE,44,5
1251,Male,27,Single,Junior,5,IT,Full-Time,5,5,2.3,1,1,9.4,Public Transport,26,1,7,0,Bachelor,FALSE,22.5,5
1277,Male,29,Single,Junior,7,Legal,Contract,5,4,1.7,3,1,7.4,Public Transport,13,2,6,0,Bachelor,FALSE,23.5,5
1284,Female,38,Married,Senior,8,Operations,Full-Time,5,5,2.6,1,1,8.5,Bike,7,5,19,4,Bachelor,FALSE,44,5
1317,Female,23,Single,Intern/Fresher,1,Finance,Full-Time,3,3,2.7,1,1,8.8,Public Transport,12,0,25,0,Bachelor,FALSE,10.5,5
1328,Female,43,Married,Mid,6,HR,Full-Time,5,4,2.5,2,2,7.3,Walk,1,7,11,0,Bachelor,FALSE,33,5
1332,Female,27,Single,Mid,5,Marketing,Part-Time,5,4,2.2,2,1,6.3,Walk,2,1,15,0,Bachelor,FALSE,32.5,5
1350,Female,43,Married,Mid,4,Finance,Full-Time,5,5,0.6,3,2,7.6,Motorbike,21,7,14,0,Bachelor,FALSE,32,5
1371,Male,25,Single,Junior,3,Marketing,Full-Time,4,5,0.9,2,1,7.5,Car,15,1,10,0,Bachelor,FALSE,21.5,5
1377,Female,22,Single,Intern/Fresher,0,Operations,Full-Time,4,5,1.6,1,1,7.9,Car,21,0,30,0,Bachelor,FALSE,10,5
1419,Male,28,Married,Mid,5,Finance,Part-Time,5,5,1.7,1,3,8,Walk,2,2,10,0,Bachelor,FALSE,32.5,5
1461,Male,28,Married,Junior,6,IT,Full-Time,4,5,2.8,2,1,6.4,Motorbike,18,2,9,0,Bachelor,FALSE,23,5
1593,Male,29,Single,Junior,7,Marketing,Full-Time,2,5,1.7,3,1,9.4,Public Transport,8,2,5,0,Bachelor,FALSE,23.5,5
1614,Male,36,Married,Mid,14,Operations,Part-Time,4,4,3,2,3,9.3,Car,21,4,10,0,Bachelor,FALSE,37,5
1642,Male,26,Single,Junior,3,Finance,Full-Time,5,2,0.9,1,1,7.1,Public Transport,19,1,8,0,Bachelor,FALSE,21.5,5
1669,Female,26,Single,Mid,3,IT,Contract,4,4,2.3,2,1,7.7,Car,15,1,14,0,Bachelor,FALSE,31.5,5
1767,Female,28,Single,Junior,6,IT,Part-Time,4,4,1.5,3,1,9.7,Car,25,2,9,0,Bachelor,FALSE,23,5
1885,Male,47,Married,Mid,25,Sales,Full-Time,4,3,1.7,1,1,7.4,Motorbike,12,8,14,0,Bachelor,FALSE,42.5,5
1905,Male,33,Single,Mid,3,Finance,Part-Time,5,5,0.5,3,1,7.5,Car,22,3,13,0,Bachelor,FALSE,31.5,5
1921,Female,28,Single,Junior,6,Finance,Contract,5,5,1.5,1,3,6.7,Bike,10,2,7,0,Bachelor,FALSE,23,5
1981,Female,29,Single,Junior,7,Finance,Full-Time,4,4,3.9,1,1,7.6,Car,18,2,10,0,Bachelor,FALSE,23.5,5
2021,Female,26,Married,Junior,2,Finance,Full-Time,4,4,2.2,1,1,6.6,Public Transport,29,1,5,0,Bachelor,FALSE,21,5
2090,Female,35,Married,Senior,13,Operations,Full-Time,5,3,1,1,1,7.1,Public Transport,27,4,17,8,Bachelor,FALSE,46.5,5
2096,Male,25,Single,Mid,3,Finance,Contract,4,3,0.3,2,1,8.8,Public Transport,15,1,10,0,Bachelor,FALSE,31.5,5
2166,Male,33,Married,Senior,11,Finance,Part-Time,4,5,2.1,4,1,8.1,Public Transport,6,3,17,6,Bachelor,FALSE,45.5,5
2176,Male,27,Single,Junior,5,HR,Full-Time,3,5,1.9,2,1,8.2,Public Transport,21,1,6,0,Bachelor,FALSE,22.5,5
2217,Other,29,Single,Junior,7,Finance,Full-Time,4,4,3.5,2,1,9.5,Bike,2,2,6,0,Bachelor,FALSE,23.5,5
2228,Female,26,Single,Junior,4,Finance,Full-Time,4,3,3.3,1,1,8,Bike,9,1,7,0,Bachelor,FALSE,22,5
2239,Female,27,Single,Junior,5,Operations,Full-Time,2,5,2.8,1,1,8.6,Car,7,1,7,0,Bachelor,FALSE,22.5,5
2402,Female,27,Single,Mid,2,Finance,Full-Time,5,3,2.5,4,1,9.5,Car,20,1,15,0,Bachelor,FALSE,31,5
2768,Female,28,Single,Junior,6,IT,Part-Time,2,1,0.7,1,1,7.2,Public Transport,8,2,8,0,Bachelor,FALSE,23,5
2769,Female,38,Married,Mid,12,Marketing,Full-Time,2,1,1.4,1,1,8.4,Public Transport,16,5,11,0,Bachelor,FALSE,36,5
2772,Female,28,Single,Junior,6,Sales,Part-Time,4,4,2.7,4,1,6.2,Car,21,2,9,0,Bachelor,FALSE,23,5
2779,Female,31,Married,Mid,9,Finance,Full-Time,2,1,4.2,1,1,8.5,Public Transport,25,3,13,0,Bachelor,FALSE,34.5,5
2786,Other,31,Single,Senior,9,Sales,Part-Time,4,4,1.7,3,1,6.9,Public Transport,23,3,18,4,Bachelor,FALSE,44.5,5
2788,Male,47,Single,Mid,4,Finance,Full-Time,1,2,2,1,2,6.1,Car,19,8,11,0,Bachelor,FALSE,32,5
2790,Male,48,Married,Mid,17,IT,Full-Time,5,3,2.5,1,1,7.3,Motorbike,22,8,14,0,Bachelor,TRUE,38.5,5
2792,Female,39,Single,Senior,5,Marketing,Full-Time,3,2,3,3,2,8.2,Bike,6,5,22,8,Bachelor,FALSE,42.5,5
2795,Female,23,Single,Intern/Fresher,1,Sales,Full-Time,2,5,3.3,1,1,6.5,Public Transport,7,0,28,0,Bachelor,FALSE,10.5,5
2798,Female,22,Single,Intern/Fresher,0,Finance,Contract,3,3,1.5,2,1,6,Public Transport,5,0,30,0,Bachelor,FALSE,10,5
2800,Male,26,Married,Junior,4,IT,Full-Time,2,1,2.4,1,2,6.9,Walk,2,1,10,0,Bachelor,FALSE,22,5
2807,Male,35,Married,Mid,13,Marketing,Full-Time,4,3,0.6,5,1,5.4,Motorbike,8,4,10,0,Bachelor,FALSE,36.5,5
2808,Female,25,Single,Junior,3,Operations,Full-Time,4,1,1.3,1,1,6.8,Car,16,1,9,0,Bachelor,FALSE,21.5,5
2809,Female,32,Single,Mid,10,IT,Full-Time,5,1,1.5,3,1,7.6,Car,11,3,10,0,Bachelor,TRUE,35,5
2813,Female,24,Single,Junior,2,Operations,Part-Time,3,3,2.5,2,1,5.9,Bike,5,0,10,0,Bachelor,FALSE,21,5
2816,Male,31,Married,Mid,9,Operations,Part-Time,5,1,2.5,1,3,8,Public Transport,21,3,10,0,Bachelor,FALSE,34.5,5
2817,Female,34,Married,Senior,12,IT,Full-Time,4,4,0,4,1,6.8,Car,20,4,18,1,Bachelor,TRUE,46,5
2823,Female,39,Married,Senior,7,Marketing,Part-Time,3,2,1.5,2,1,4.9,Public Transport,27,5,17,1,Bachelor,FALSE,43.5,5
2827,Female,37,Married,Mid,15,Sales,Full-Time,2,5,3.4,5,1,7.5,Walk,2,5,10,0,Bachelor,TRUE,37.5,5
2829,Male,31,Single,Mid,9,Operations,Full-Time,3,3,3.2,2,1,7.2,Car,26,3,11,0,Bachelor,FALSE,34.5,5
2830,Male,39,Married,Senior,2,Customer Service,Contract,1,2,0.8,2,1,6.3,Car,10,5,18,3,Bachelor,FALSE,41,5
2832,Male,24,Single,Mid,2,IT,Part-Time,5,2,2.6,5,1,6.8,Car,29,0,15,0,Bachelor,FALSE,31,5
2833,Male,27,Single,Junior,5,Sales,Full-Time,5,5,2.2,5,2,7.5,Walk,1,1,7,0,Bachelor,FALSE,22.5,5
2836,Male,24,Single,Junior,2,IT,Contract,1,2,1,2,1,8.5,Bike,10,0,7,0,Bachelor,TRUE,21,5
2837,Male,42,Single,Senior,11,Legal,Full-Time,2,2,2,3,1,6.8,Bike,9,6,17,6,Bachelor,FALSE,45.5,5
2840,Female,24,Single,Junior,2,Marketing,Full-Time,4,4,2.1,3,3,7.1,Walk,2,0,10,0,Bachelor,FALSE,21,5
2844,Female,23,Single,Junior,1,Sales,Part-Time,4,1,1.3,2,1,7,Public Transport,21,0,10,0,Bachelor,FALSE,20.5,5
2847,Male,23,Single,Intern/Fresher,1,Sales,Full-Time,5,2,0,4,2,6.9,Car,26,0,23,0,Bachelor,FALSE,10.5,5
2848,Female,35,Married,Mid,13,HR,Full-Time,4,2,3.6,4,2,6.5,Bike,5,4,10,0,Bachelor,FALSE,36.5,5
2855,Other,28,Single,Mid,6,Legal,Part-Time,2,4,1.9,2,2,5.6,Car,9,2,12,0,Bachelor,FALSE,33,5
2857,Male,26,Married,Mid,4,Finance,Full-Time,3,5,3.2,4,2,8.6,Public Transport,23,1,10,0,Bachelor,FALSE,32,5
2863,Male,26,Single,Mid,4,IT,Full-Time,4,5,2.9,4,1,8.6,Car,11,1,15,0,Bachelor,TRUE,32,5
2865,Female,24,Single,Junior,2,Legal,Full-Time,4,5,2.7,4,1,7.8,Car,5,0,5,0,Bachelor,FALSE,21,5
2867,Female,33,Married,Mid,5,Operations,Full-Time,3,4,1.4,4,1,7.3,Car,20,3,13,0,Bachelor,FALSE,32.5,5
2872,Female,25,Single,Mid,3,Finance,Part-Time,5,1,3.1,4,1,8.4,Public Transport,29,1,10,0,Bachelor,FALSE,31.5,5
2878,Male,36,Married,Senior,9,Operations,Full-Time,4,4,0.6,4,1,8.9,Public Transport,9,4,25,3,Bachelor,FALSE,44.5,5
2880,Male,29,Single,Junior,7,Sales,Full-Time,2,5,2.3,4,1,6.3,Bike,10,2,8,0,Bachelor,FALSE,23.5,5
2884,Male,36,Divorced,Senior,14,Operations,Full-Time,5,3,2.3,3,5,7.1,Motorbike,7,4,18,3,Bachelor,FALSE,47,5
2885,Male,58,Married,Senior,6,Operations,Full-Time,1,2,3.2,1,1,5.5,Public Transport,6,12,25,5,Bachelor,FALSE,43,5
2886,Male,36,Single,Mid,3,IT,Full-Time,3,3,0.1,3,2,9,Car,18,4,11,0,Bachelor,TRUE,31.5,5
2888,Male,46,Divorced,Mid,8,IT,Part-Time,1,5,3.6,3,1,7.5,Car,13,8,14,0,Bachelor,TRUE,34,5
2890,Female,22,Single,Junior,0,Marketing,Full-Time,1,4,2.1,2,1,6.4,Bike,10,0,8,0,Bachelor,FALSE,20,5
2892,Male,31,Married,Senior,9,Legal,Part-Time,4,5,1.7,1,1,6,Bike,9,3,24,8,Bachelor,TRUE,44.5,5
2896,Male,29,Single,Junior,3,Legal,Full-Time,2,5,2.5,3,1,8.5,Public Transport,23,2,10,0,Bachelor,FALSE,21.5,5
2902,Male,24,Single,Mid,2,IT,Contract,3,5,2.7,3,1,6.5,Public Transport,25,0,11,0,Bachelor,TRUE,31,5
2903,Female,33,Single,Mid,11,Marketing,Contract,5,3,0.3,5,3,8.4,Bike,10,3,12,0,Bachelor,FALSE,35.5,5
2904,Female,49,Married,Senior,15,Sales,Full-Time,3,1,2.5,2,2,7.7,Public Transport,9,9,16,4,Bachelor,FALSE,47.5,5
2909,Male,25,Single,Junior,3,IT,Full-Time,5,5,2.9,3,1,7.7,Public Transport,11,1,7,0,Bachelor,TRUE,21.5,5
2914,Male,24,Single,Junior,2,Customer Service,Full-Time,4,3,1.9,2,2,6.1,Bike,9,0,9,0,Bachelor,FALSE,21,5
2916,Male,22,Single,Intern/Fresher,0,IT,Full-Time,3,4,1.5,3,4,9,Public Transport,11,0,26,0,Bachelor,TRUE,10,5
2920,Female,38,Married,Mid,16,IT,Full-Time,3,2,1,3,3,7.4,Car,15,5,13,0,Bachelor,FALSE,38,5
2923,Female,33,Single,Mid,10,Finance,Full-Time,2,4,0.2,1,1,6,Bike,5,3,12,0,Bachelor,FALSE,35,5
2932,Male,29,Single,Mid,7,Finance,Full-Time,1,4,0.4,4,1,7.2,Car,10,2,11,0,Bachelor,FALSE,33.5,5
2939,Female,44,Married,Mid,11,Operations,Full-Time,4,5,0,2,3,5.7,Car,13,7,10,0,Bachelor,TRUE,35.5,5
2941,Male,34,Single,Mid,7,IT,Full-Time,5,1,1.8,4,1,8,Car,8,4,14,0,Bachelor,TRUE,33.5,5
2943,Other,29,Single,Junior,6,Marketing,Full-Time,4,2,1.5,2,1,5.8,Bike,9,2,8,0,Bachelor,FALSE,23,5
2946,Other,44,Single,Senior,13,Finance,Full-Time,5,3,1.1,4,1,8,Bike,2,7,15,3,Bachelor,FALSE,46.5,5
2947,Female,56,Married,Senior,2,Operations,Full-Time,4,1,2.6,2,1,6.8,Car,21,11,21,3,Bachelor,TRUE,41,5
2950,Male,23,Single,Junior,1,Sales,Part-Time,2,3,2.4,1,2,5.5,Public Transport,23,0,8,0,Bachelor,FALSE,20.5,5
2953,Female,48,Married,Mid,25,Sales,Full-Time,3,2,1.6,1,1,5.5,Car,6,8,15,0,Bachelor,FALSE,42.5,5
2954,Male,29,Single,Junior,6,IT,Full-Time,3,3,1.5,3,1,5.2,Public Transport,17,2,5,0,Bachelor,FALSE,23,5
2955,Male,32,Married,Senior,2,Finance,Full-Time,5,2,3.5,4,1,8.6,Car,11,3,19,4,Bachelor,FALSE,41,5
2960,Male,54,Married,Senior,23,Finance,Full-Time,5,4,2.4,2,2,6.5,Car,7,10,20,7,Bachelor,FALSE,51.5,5
2961,Female,29,Single,Mid,7,Finance,Contract,1,3,3.2,3,1,6.5,Walk,2,2,10,0,Bachelor,FALSE,33.5,5
2963,Male,28,Single,Junior,6,IT,Contract,3,4,2.1,3,1,7.8,Public Transport,25,2,6,0,Bachelor,TRUE,23,5
2964,Male,25,Single,Junior,3,Sales,Contract,3,5,1.7,4,1,5.5,Car,10,1,8,0,Bachelor,FALSE,21.5,5
2969,Male,24,Single,Senior,2,IT,Part-Time,2,2,4.4,1,1,6.2,Public Transport,26,0,20,1,Bachelor,TRUE,41,5
2975,Female,49,Married,Mid,21,Legal,Full-Time,2,4,1.9,1,1,5.8,Public Transport,22,9,15,0,Bachelor,FALSE,40.5,5
2978,Female,28,Single,Mid,4,Sales,Full-Time,5,3,2.2,5,2,6.9,Public Transport,15,2,15,0,Bachelor,FALSE,32,5
2980,Male,46,Single,Senior,5,Sales,Contract,2,5,3.1,4,1,7.5,Car,7,8,17,5,Bachelor,TRUE,42.5,5
2981,Female,23,Single,Intern/Fresher,1,Legal,Full-Time,5,3,2.7,4,1,6.8,Bike,5,0,24,0,Bachelor,FALSE,10.5,5
2982,Other,28,Single,Junior,6,Marketing,Full-Time,1,5,0,4,1,6.3,Car,8,2,9,0,Bachelor,FALSE,23,5
2989,Female,31,Single,Senior,9,Legal,Full-Time,5,3,3.7,2,3,6.3,Car,18,3,19,3,Bachelor,FALSE,44.5,5
2993,Female,24,Single,Mid,2,Marketing,Full-Time,4,3,1.4,4,1,6.8,Walk,2,0,11,0,Bachelor,FALSE,31,5
3003,Male,27,Single,Junior,5,IT,Full-Time,4,3,2.5,3,1,7.6,Public Transport,28,1,5,0,Bachelor,TRUE,22.5,5
3004,Male,46,Married,Senior,21,Legal,Part-Time,3,4,0.1,5,1,6.6,Motorbike,5,8,20,6,Bachelor,FALSE,50.5,5
3007,Female,31,Married,Mid,9,Finance,Full-Time,4,3,2.3,1,2,5.2,Car,5,3,11,0,Bachelor,TRUE,34.5,5
3010,Female,26,Single,Mid,4,Operations,Contract,5,2,2.4,2,3,6.5,Car,16,1,13,0,Bachelor,FALSE,32,5
3011,Female,29,Single,Junior,7,HR,Part-Time,1,5,1,1,1,5.3,Car,17,2,8,0,Bachelor,FALSE,23.5,5
3019,Male,28,Single,Junior,6,Customer Service,Part-Time,3,4,1.5,4,1,8.6,Motorbike,22,2,7,0,Bachelor,TRUE,23,5
3020,Female,23,Single,Intern/Fresher,1,Legal,Full-Time,2,4,1,2,2,6.3,Motorbike,12,0,24,0,Bachelor,FALSE,10.5,5
3021,Male,26,Single,Mid,4,Sales,Full-Time,3,2,2.7,3,2,7.9,Public Transport,16,1,14,0,Bachelor,FALSE,32,5
3023,Female,26,Single,Mid,3,IT,Contract,4,3,2.1,1,1,8.8,Car,13,1,10,0,Bachelor,TRUE,31.5,5
40,Male,26,Single,Junior,4,IT,Part-Time,3,2,1,3,2,7.1,Bike,8,1,7,0,Bachelor,TRUE,22,5
42,Other,36,Single,Mid,6,Finance,Full-Time,5,3,2.9,5,4,8,Public Transport,9,4,13,0,Bachelor,TRUE,33,5
58,Male,27,Single,Junior,5,Sales,Part-Time,4,1,1.1,5,1,7.3,Bike,2,1,5,0,Bachelor,TRUE,22.5,5
63,Other,33,Single,Senior,11,IT,Full-Time,1,2,1.7,2,1,7.4,Car,7,3,17,2,Bachelor,TRUE,45.5,5
79,Male,25,Single,Junior,3,Finance,Full-Time,2,1,1.6,5,1,7.4,Public Transport,24,1,8,0,Bachelor,FALSE,21.5,5
86,Male,39,Married,Senior,16,IT,Full-Time,1,4,1.6,3,1,6.6,Public Transport,22,5,22,6,Bachelor,TRUE,48,5
89,Male,38,Single,Mid,8,IT,Full-Time,1,3,2.1,3,2,8.4,Motorbike,4,5,10,0,Bachelor,TRUE,34,5
91,Male,31,Single,Mid,9,IT,Full-Time,2,2,1.8,4,1,7.4,Bike,3,3,15,0,Bachelor,TRUE,34.5,5
102,Female,28,Single,Mid,6,HR,Full-Time,3,2,1.7,5,1,6.8,Motorbike,11,2,15,0,Bachelor,FALSE,33,5
113,Female,31,Married,Mid,9,HR,Full-Time,1,2,2.8,4,1,4,Car,12,3,13,0,Bachelor,TRUE,34.5,5
121,Male,25,Single,Junior,3,Operations,Part-Time,1,1,1.7,5,3,7.2,Bike,10,1,10,0,Bachelor,FALSE,21.5,5
126,Male,44,Married,Mid,16,Customer Service,Full-Time,4,1,2.7,1,3,6.5,Car,18,7,14,0,Bachelor,TRUE,38,5
139,Other,32,Single,Mid,10,HR,Part-Time,2,1,1.7,3,2,7.3,Motorbike,19,3,12,0,Bachelor,FALSE,35,5
140,Female,41,Married,Mid,19,HR,Full-Time,1,3,0.3,5,4,7.5,Bike,4,6,10,0,Bachelor,FALSE,39.5,5
152,Male,22,Single,Intern/Fresher,0,IT,Full-Time,2,4,1.4,5,2,7.7,Public Transport,5,0,23,0,Bachelor,TRUE,10,5
167,Male,39,Married,Mid,17,Legal,Full-Time,1,2,2.6,4,1,6.6,Walk,1,5,13,0,Bachelor,FALSE,38.5,5
168,Male,26,Single,Mid,4,IT,Full-Time,2,4,1,4,1,4.7,Public Transport,8,1,13,0,Bachelor,TRUE,32,5
193,Female,27,Single,Mid,5,HR,Full-Time,2,1,2.8,5,1,5.5,Public Transport,17,1,12,0,Bachelor,FALSE,32.5,5
203,Male,25,Single,Junior,3,IT,Full-Time,2,3,1.2,4,2,8.7,Car,6,1,9,0,Bachelor,TRUE,21.5,5
215,Male,23,Single,Intern/Fresher,1,IT,Full-Time,4,4,2.1,4,3,6,Car,6,0,29,0,Bachelor,TRUE,10.5,5
220,Female,29,Married,Junior,7,Finance,Contract,2,1,2.9,5,1,6.7,Public Transport,15,2,7,0,Bachelor,FALSE,23.5,5
229,Female,24,Single,Junior,2,Operations,Full-Time,2,1,1.5,3,3,6,Car,13,0,5,0,Bachelor,FALSE,21,5
234,Female,25,Single,Junior,3,Operations,Full-Time,2,1,0.8,5,1,7.6,Car,5,1,10,0,Bachelor,FALSE,21.5,5
238,Female,37,Divorced,Mid,15,Finance,Full-Time,1,2,1.6,4,2,6.2,Car,8,5,11,0,Bachelor,FALSE,37.5,5
2565,Male,40,Married,Mid,3,Sales,Full-Time,5,4,1.4,1,1,6.2,Public Transport,29,6,15,0,Bachelor,FALSE,31.5,4
2693,Male,24,Single,Junior,2,IT,Part-Time,5,5,1.3,2,1,7.2,Car,7,0,9,0,Bachelor,TRUE,21,4
2698,Female,39,Divorced,Senior,17,IT,Full-Time,5,5,1.3,1,1,7.3,Public Transport,18,5,19,6,Bachelor,TRUE,48.5,4
2751,Male,23,Single,Junior,1,IT,Full-Time,5,5,1.7,1,1,6.5,Public Transport,8,0,8,0,Bachelor,FALSE,20.5,4
2907,Male,31,Married,Mid,8,Marketing,Full-Time,5,3,3.4,1,3,8.8,Bike,6,3,14,0,Bachelor,FALSE,34,4
2911,Male,26,Married,Junior,4,Legal,Full-Time,4,5,1.4,1,1,6,Public Transport,25,1,6,0,Bachelor,FALSE,22,4
2951,Female,27,Single,Mid,5,Finance,Contract,5,5,1.1,1,1,7.9,Public Transport,26,1,12,0,Bachelor,FALSE,32.5,4
2974,Female,48,Single,Senior,24,Legal,Full-Time,3,5,1.9,1,1,6.3,Walk,1,8,19,6,Bachelor,FALSE,52,4
2999,Female,30,Married,Mid,3,Operations,Part-Time,2,5,1.5,1,1,7.3,Car,26,2,12,0,Bachelor,FALSE,31.5,4
3013,Male,40,Single,Mid,12,Operations,Part-Time,5,4,2.2,2,1,6.5,Public Transport,7,6,10,0,Bachelor,FALSE,36,4
3014,Female,43,Married,Mid,7,Sales,Part-Time,5,5,2.4,3,1,6.3,Car,15,7,15,0,Bachelor,FALSE,33.5,4
